year,weighted_gdd,weighted_precip,weighted_vpd,weighted_soil,weighted_heat_stress,precip_sq,usda_yield,trend_yield,yield_deviation
1980,2787.4715385,1006.89998731,0.8289741414754098,0.4645232267213115,0.0,1013847.5844448783,0.45,0.5034879227053137,-0.10623476809118944
1981,2786.0715405,762.59999393,0.8512421696174862,0.4662379286338798,0.0,581558.750742036,0.48,0.5060162494510321,-0.05141386166799318
1982,2768.521538,929.89998532,0.8184658775409835,0.4655719433879782,0.0,864713.9826981362,0.42,0.5085445761967495,-0.17411369689349074
1983,2817.3215364999996,873.90001192,0.8458251221311476,0.455174632295082,0.0,763701.2308337762,0.4,0.5110729029424679,-0.21733279597288974
1984,2801.7465359999997,1514.60001537,0.8496317601639344,0.4783599646994536,0.0,2294013.206558804,0.49,0.5136012296881862,-0.04595243999418544
1985,2795.446533,837.09999981,0.8982255891803278,0.46900159158469945,0.0,700736.409681902,0.51,0.5161295564339037,-0.011876003529529763
1986,2814.8715414999997,982.49999069,0.9147224827868853,0.450250462295082,0.0,965306.2317058501,0.5,0.518657883179622,-0.035973391680157715
1987,2895.12153,1081.0000027,0.8532569885245902,0.47054918169398907,0.0,1168561.0058374002,0.52,0.5211862099253404,-0.0022759810270311593
1988,2858.9715309999997,1149.80000523,0.9090495621857924,0.45439230475409836,0.0,1322040.0520269077,0.55,0.5237145366710578,0.05019044057097076
1989,2836.9215394999997,843.70000684,0.9205597461202186,0.45911726240437156,0.0,711829.7015418161,0.54,0.5262428634167762,0.026142181755970766
1990,2828.2715359999997,672.39999097,0.8756037417486339,0.440375683715847,0.0,452121.74785645603,0.53,0.5287711901624945,0.002323897104015607
1991,2867.99654,815.60000057,0.9041748295628416,0.46201957945355193,0.0,665203.360929784,0.55,0.531299516908212,0.03519762863819578
1992,2772.3215345,941.29999851,0.837623524262295,0.45927823213114755,0.0,886045.6871949261,0.56,0.5338278436539303,0.04902733466828419
1993,2851.34654,673.50000165,0.9248533666666666,0.45517394655737703,0.0,453602.2522225499,0.54,0.5363561703996487,0.006793675176023954
1994,2823.6715369999997,695.19999927,0.8887181355737706,0.4464678861748634,0.0,483303.038985008,0.52,0.5388844971453661,-0.03504368235754227
1995,2911.7465389999998,910.30001207,0.9462843610928963,0.4598847881967213,0.0,828646.1119746421,0.58,0.5414128238910845,0.07127126363870176
1996,2880.1215359999997,882.29999543,0.9665106778142076,0.4522377078688525,0.0,778453.281935778,0.6,0.5439411506368028,0.10306050442693653
1997,2812.471536,686.80000052,0.8821263627868853,0.44000136846994536,0.0,471694.240714272,0.59,0.5464694773825203,0.07965773829854543
1998,2908.8215379999997,680.69999778,0.9143231100546448,0.4578872872131148,0.0,463352.486977692,0.57,0.5489978041282386,0.038255518899772314
1999,2857.1715375,705.09999253,0.9836969609289617,0.4452056041530055,0.0,497165.99946580606,0.61,0.551526130873957,0.1060219377699918
2000,2834.471544,617.00000742,0.953447461693989,0.4390812830601093,0.0,380689.00915628,0.62,0.5540544576196744,0.11902357516198034
2001,2796.8965384999997,1021.99997034,0.8905422428961749,0.4395928954644809,0.0,1044483.9393749608,0.6,0.5565827843653928,0.0780067527315112
2002,2844.5215409999996,712.40001053,0.8888451300546448,0.4523217143169399,0.0,507513.77500314417,0.58,0.5591111111111102,0.03736089030206834
2003,2838.821535,805.00001037,0.8995087773770493,0.45412772633879783,0.0,648025.0166957001,0.61,0.5616394378568286,0.08610606535700462
2004,2790.3215354999998,898.59998063,0.863245939125683,0.4683708938797814,0.0,807481.9251882364,0.63,0.5641677646025469,0.11668911187052938
2005,2830.3965319999998,953.2999820699999,0.8542884709289618,0.4557497652459016,0.0,908780.8558146622,0.62,0.5666960913482644,0.09406083695568951
2006,2847.471536,936.90000946,0.9013909595628414,0.46541711775956285,0.0,877781.627726148,0.59,0.5692244180939827,0.03649805111239459
2007,2861.721541,873.20002359,0.9061968303278688,0.4504769976502732,0.0,762478.2811975766,0.55,0.5717527448397011,-0.03804572000052175
2008,2862.946533,1073.79999073,0.9414334034972678,0.45395718710382515,0.0,1153046.420091748,0.54,0.5742810715854185,-0.059693890816875934
2009,2858.071536,768.10000097,0.8905809280874317,0.45515050273224045,0.0,589977.611490114,0.56,0.5768093983311369,-0.029142032671053697
2010,2891.6965339999997,1218.79999209,0.8966495196721311,0.46966690087431695,0.0,1485473.420718584,0.57,0.5793377250768552,-0.016117930306742093
2011,2856.5715314999998,752.40000963,0.9066459010928962,0.44967304606557373,0.0,566105.7744912241,0.6,0.5818660518225727,0.031165159267543686
2012,2820.0465314999997,1015.90002372,0.904997115409836,0.428078544863388,0.0,1032052.8581942966,0.58,0.584394378568291,-0.007519542845461406
2013,2811.0465394999997,932.70001698,0.8604809118032787,0.4268800053551912,0.0,869929.3216744922,0.55,0.5869227053140094,-0.06290897417958181
2014,2834.8965325,1222.80001216,0.8601193647540984,0.4518337908196721,0.0,1495239.8697384964,0.61,0.5894510320597268,0.03486119596477527
2015,2849.6215399999996,893.39998182,0.8596176284699454,0.43850091415300546,0.0,798163.5275159763,0.59,0.5919793588054452,-0.0033436280775724077
2016,2882.396542,1370.09996929,0.8647594721857924,0.45141757,0.0,1877173.925848459,0.55,0.5945076855511635,-0.07486477741646137
2017,2890.6014585,1383.49998938,0.9985863944808744,0.4100899286885246,0.0,1914072.22061446,0.62,0.597036012296881,0.03846332085525856
2018,2847.3764634999998,1093.99999674,0.9513881879781421,0.4358790938251366,0.0,1196835.9928671198,0.6,0.5995643390425993,0.0007266292022910142
2019,2905.3264655,993.19998603,0.9418839632240437,0.43150547792349725,0.0,986446.2122499922,0.63,0.6020926657883177,0.046350563289362406
2020,2889.926461,892.3999886299999,0.9783050352459015,0.41461726956284156,0.0,796377.7397068241,0.61,0.6046209925340351,0.00889649471716296
2021,2926.576457,1351.09998864,1.019718444262295,0.41867144142076507,0.0,1825471.1793030081,0.64,0.6071493192797535,0.05410642765640669
2022,2842.2764724999997,954.000018,1.024341400819672,0.4237071886338798,0.0,910116.0343440003,0.58,0.6096776460254718,-0.048677602367320424
2023,2926.3264635,989.80000423,1.0015086536612023,0.39901047174863385,0.0,979704.048373708,0.52,0.6122059727711893,-0.150612664482532
2024,2942.101462,789.70000554,0.9624347058469945,0.40694489273224044,0.0,623626.098749876,0.5,0.6147342995169076,-0.18664047151276933
