year,weighted_gdd,weighted_precip,weighted_vpd,weighted_soil,weighted_heat_stress,precip_sq,usda_yield,trend_yield,yield_deviation
1980,1883.24300412,592.3600025999999,1.557761362130841,0.2834137857943925,21.799999999999997,350890.3726802719,91.0,96.85178743961342,-0.06042002521906967
1981,1676.42219922,842.5200049120001,1.2502175231588784,0.322399925046729,4.8,709839.9586769167,108.9,98.77559508124705,0.1024990526296016
1982,1651.36920158,837.039999344,1.1812773867570092,0.32685560785981305,7.2,700635.9605018034,113.2,100.69940272288113,0.12413774996779062
1983,1872.5822147899999,634.4000018439999,1.5752252319532711,0.28468360506542056,21.6,402463.3623396671,81.1,102.62321036451476,-0.20973043318431503
1984,1674.1366092,817.98001464,1.3658331857271029,0.3112815029813084,6.2,669091.3043504547,106.7,104.54701800614839,0.02059343283923215
1985,1736.31060531,715.0400019599999,1.3799202464205607,0.29683337187850467,7.2,511282.2044029567,118.0,106.47082564778202,0.1082848215186932
1986,1813.44960618,948.6000091999999,1.2620932861,0.3356570082990654,9.8,899841.97745424,119.4,108.39463328941565,0.10153054977546558
1987,1927.48300933,653.5000002740001,1.519599128130841,0.28686218540186914,17.2,427062.2503581181,119.8,110.31844093104974,0.08594718153129396
1988,2016.94481238,399.50000113600004,1.9941846508037382,0.2370437364579439,17.4,159600.25090766404,84.6,112.24224857268337,-0.24627311840410443
1989,1703.2294010599999,695.0600089120001,1.4050314762616822,0.29251047518691586,9.2,483108.4159887496,116.3,114.166056214317,0.018691578359132235
1990,1710.3604102200002,895.58000918,1.218054933682243,0.3553078296168224,4.0,802063.5528428489,118.5,116.08986385595063,0.020760952455246024
1991,1978.55961126,720.440006004,1.4904753826915889,0.2963417036542056,12.0,519033.80225104355,108.6,118.01367149758426,-0.07976763520806959
1992,1505.84460094,713.760003758,1.2864987621775703,0.323928969728972,2.8,509453.3429646202,131.5,119.93747913921834,0.09640456797795773
1993,1574.53920711,1096.5399983,1.0791367360093458,0.37811612269158873,2.8,1202399.967871764,100.7,121.86128678085197,-0.17365060996694673
1994,1782.45640101,615.919991102,1.4577664471962617,0.284941825224299,5.4,379357.4354390878,138.6,123.7850944224856,0.11968246780141618
1995,1744.66680803,751.9400021199999,1.368323331728972,0.313966238728972,10.8,565413.7667882255,113.5,125.70890206411923,-0.09712042555181925
1996,1611.3728035600002,706.440007656,1.2458586389158879,0.3133234052336449,3.4,499057.4844170094,127.1,127.63270970575286,-0.00417377102610283
1997,1641.00560934,628.460000714,1.2735944396635515,0.2980696251588785,11.8,394961.9724974409,126.7,129.55651734738694,-0.022048426477284853
