year,weighted_gdd,weighted_precip,weighted_heat_stress,usda_yield,trend_yield,yield_deviation
1980,4814.096954500001,1251.39998687,4.0,55.0,61.16637681159432,-0.10081317764804174
1981,4693.9379225,1197.10001343,10.0,55.2,61.601238471673355,-0.1039141197561619
1982,4620.492441,1730.70002666,12.0,56.1,62.03610013175239,-0.09568783529501837
1983,4668.367451,2163.89999553,16.0,57.0,62.47096179183143,-0.0875760775072107
1984,4993.5719145,1280.90001295,26.0,58.3,62.905823451910464,-0.07321775948822092
1985,4787.633437,1217.99999394,18.0,60.5,63.3406851119895,-0.04484771686581898
1986,4817.592425000001,1294.00001924,11.0,62.1,63.77554677206854,-0.026272558321716606
1987,4898.0924175,1205.90000427,11.0,61.8,64.21040843214757,-0.03753921663175065
1988,4852.1969145,1280.90002009,6.0,63.0,64.64527009222672,-0.02545074202458255
1989,4659.442444,1498.90000283,6.0,65.2,65.08013175230576,0.0018418562542322364
1990,4945.517442,1211.90000174,18.0,64.5,65.5149934123848,-0.015492536280907647
1991,4822.617431000001,1803.1000227700001,2.0,66.0,65.94985507246383,0.0007603493211784723
1992,4697.121932,1555.3000197000001,10.0,67.5,66.38471673254287,0.01680030167109834
1993,4757.417434000001,1393.8000087,1.0,68.2,66.8195783926219,0.020658939199929463
1994,4923.262914,1337.69999876,20.0,69.0,67.25444005270094,0.025954568143474643
1995,4847.542422500001,1720.00001489,7.0,70.5,67.68930171277998,0.041523523158008155
1996,4742.5219400000005,1785.90000764,14.0,71.2,68.12416337285913,0.04515044992635162
1997,4850.2924295,1595.10000104,11.0,72.5,68.55902503293817,0.057482949402627166
1998,4940.292458000001,1478.09998639,11.0,73.0,68.9938866930172,0.05806475760392626
1999,4843.792419,1259.49999969,13.0,74.5,69.42874835309624,0.07304253306011967
2000,4819.771927000001,1624.8000162,6.0,72.8,69.86361001317528,0.042030321454487686
2001,5004.292439000001,1164.39998988,19.0,73.5,70.29847167325431,0.04554193356615658
2002,5243.442425,1136.20002284,0.0,75.0,70.73333333333335,0.060320452403392795
2003,4962.717448,1116.60000259,19.0,76.5,71.16819499341238,0.07491836777764489
2004,4710.2969515,1558.39998784,3.0,77.2,71.60305665349154,0.07816626283977986
2005,5017.817415,1254.99999778,11.0,78.5,72.03791831357057,0.0897038925847486
2006,4868.667437,1365.10001379,6.0,79.0,72.47277997364961,0.09006443562291422
2007,5133.817432000001,1281.40000914,11.0,80.5,72.90764163372864,0.10413666107064101
2008,4873.9469365,1239.90000128,6.0,81.0,73.34250329380768,0.10440735402112791
2009,4854.667418,1605.90000419,10.0,80.3,73.77736495388672,0.08840970465928326
2010,5082.2424655,1118.00000074,18.0,78.5,74.21222661396575,0.05777718283994115
2011,4880.767427000001,1351.49999609,17.0,74.5,74.64708827404479,-0.0019704489142938738
2012,5067.546932,1209.00001208,13.0,73.8,75.08194993412394,-0.017074009602157537
2013,4895.2174430000005,1307.3000115,12.0,75.2,75.51681159420298,-0.004195245899752662
2014,5386.0174210000005,849.30000849,23.0,72.5,75.95167325428201,-0.04544565124623393
2015,5246.342408,1357.10000177,12.0,74.8,76.38653491436105,-0.020769824369435776
2016,5073.4969710000005,1406.39999962,17.0,76.0,76.82139657444009,-0.010692289011488507
2017,5136.8499465,1022.80001778,16.0,72.5,77.25625823451912,-0.061564698358559176
2018,5136.9249505,1031.80000268,14.0,73.2,77.69111989459816,-0.05780737748009246
2019,5261.224977,1015.20000759,13.0,75.5,78.1259815546772,-0.033612141600286694
2020,5198.399963,879.00001446,7.0,78.0,78.56084321475635,-0.007138966332415856
2021,5139.5499713,932.80001915,13.0,70.5,78.99570487483538,-0.10754641519176757
2022,5008.449963,1123.30000152,12.0,73.4,79.43056653491442,-0.07592249178109065
2023,5127.9499565,1125.10000646,10.0,77.7,79.86542819499346,-0.027113461280223846
2024,5495.8999805,1067.09999189,20.0,71.5,80.30028985507249,-0.10959225515817471
